OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME
3401744,T20130013732,ABS to receive accident,Finished,1/07/2013,18.30.00,Yes,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,60 km/hr,No,261534,144.9698,-37.82202,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497341.176,2408778.118,3,1,0,1,0,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3401745,T20130013736,ABS to receive accident,Finished,2/07/2013,16.40.00,No,Collision with vehicle,Tuesday,PARKED VEHICLES ONLY,No,Day,Yes,T intersection,Serious injury accident,60 km/hr,No,66573,145.14671,-37.83166,Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2512914.561,2407698.334,2,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3401746,T20130013737,ABS to receive accident,Finished,2/07/2013,13.15.00,No,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,T intersection,Serious injury accident,50 km/hr,Yes,261533,144.80134,-37.74003,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2482490.641,2417859.686,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3401747,T20130013738,ABS to receive accident,Finished,2/07/2013,16.45.00,No,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,110 km/hr,Yes,263495,145.07011,-37.17891,Non-Intersection,MITCHELL,NORTHERN REGION,2506225.129,2480145.341,3,2,0,2,0,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MITCHELL,NORTHERN REGION,M,M,Freeway,Freeway,Divided,Div,Country
3401748,T20130013739,ABS to receive accident,Finished,2/07/2013,15.48.00,No,Collision with vehicle,Tuesday,U TURN,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,No,261664,144.9653,-37.81808,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496944.686,2409215.737,3,1,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,1,MELBOURNE_CBD,"MELBOURNE_CBD,MELB_URBAN",MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3401749,T20130013740,ABS to receive accident,Finished,2/07/2013,13.40.00,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,263258,145.7914,-38.23087,Non-Intersection,BAW BAW,EASTERN REGION,2569296.776,2363109.374,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,BAW BAW,"EASTERN REGION,EASTERN REGION",,,Local Road,Local Road,Undivided,Undiv,Country
3401750,T20130013742,ABS to receive accident,Finished,2/07/2013,16.10.00,No,Collision with vehicle,Tuesday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Cross intersection,Other injury accident,80 km/hr,No,226245,145.00873,-37.90637,Intersection,BAYSIDE,METROPOLITAN SOUTH EAST REGION,2500767.374,2399416.642,10,2,0,0,2,8,5,4,0,7,3,0,0,0,0,0,0,0,0,0,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,BAYSIDE,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro
3401751,T20130013743,ABS to receive accident,Finished,2/07/2013,17.50.00,No,Collision with vehicle,Tuesday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,60 km/hr,No,261501,145.07229,-37.80207,Non-Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2506366.059,2410990.138,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3401752,T20130013744,ABS to receive accident,Finished,2/07/2013,17.30.00,No,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,38890,145.02638,-37.82156,Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2502322.883,2408828.978,2,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3401753,T20130013746,ABS to receive accident,Finished,2/07/2013,17.35.00,No,Collision with vehicle,Tuesday,LEFT NEAR (INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,620,145.15439,-37.84541,Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2513588.707,2406171.135,4,1,0,0,1,3,2,2,0,2,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3401754,T20130013749,ABS to receive accident,Finished,2/07/2013,16.20.00,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,Yes,262558,145.04213,-37.73512,Non-Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,2503713.451,2418422.819,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,BANYULE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3401755,T20130013751,ABS to receive accident,Finished,2/07/2013,16.30.00,No,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Cross intersection,Serious injury accident,80 km/hr,Yes,1303,144.95479,-37.66725,Intersection,HUME,METROPOLITAN NORTH WEST REGION,2496011.83,2425954.466,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,HUME,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,"Div,Undiv",Metro
3401756,T20130013752,ABS to receive accident,Finished,2/07/2013,17.38.00,No,Collision with vehicle,Tuesday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,70 km/hr,No,241918,145.06288,-37.67821,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2505546.495,2424737.38,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,WHITTLESEA,METROPOLITAN NORTH WEST REGION,,,,,,,Metro
3401757,T20130013753,ABS to receive accident,Finished,2/07/2013,19.50.00,Yes,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,T intersection,Other injury accident,60 km/hr,Yes,264067,144.35796,-38.0824,Intersection,GEELONG,SOUTH WESTERN REGION,2443669.924,2379687.507,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
3401758,T20130013754,ABS to receive accident,Finished,2/07/2013,17.35.00,No,Collision with vehicle,Tuesday,RIGHT REAR.,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,60 km/hr,No,261637,145.07832,-37.70195,Non-Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,2506906.296,2422102.011,2,1,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,1,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BANYULE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3401759,T20130013755,ABS to receive accident,Finished,2/07/2013,18.19.00,Yes,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,80 km/hr,No,261532,144.89081,-37.82599,Non-Intersection,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,2490387.319,2408332.107,6,2,0,0,2,4,4,2,0,3,3,0,0,0,0,0,0,0,0,1,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,M,M,Freeway,Freeway,Divided,Div,Metro
